platform,title,text,rating,author,date,url,scraped_at,metadata
play_store,,"App is unusable after latest download, constantly crashing after opening the app. This happened with an update about a month ago as well, after they added time syncing lyrics. Cancelling my paid subscription if this isn't rectified soon.",3,Lizard Storms,2026-06-19 17:07:25,,2026-06-20T11:39:11.206801+00:00,"{'review_id': '8b487763-f181-40cd-9715-e37880b67423', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,my favourite app thanks you so much please give me money 🤑💰,5,Sarim Kro,2026-06-19 17:05:13,,2026-06-20T11:39:11.206819+00:00,"{'review_id': '6eff6e19-ae10-4fb7-806c-1db512d9940b', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,best music app in my life,5,Himanshu Kadaru,2026-06-19 17:05:07,,2026-06-20T11:39:11.206827+00:00,"{'review_id': 'bb944b2f-59df-4a1a-9ef2-58c1ea636ff9', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,"The cruise control based on my liked songs is mad!!! It brings similar songs, beats and vibes. I can relax after my liked songs are exhausted knowing you've got my back",5,Chris Jo,2026-06-19 16:59:50,,2026-06-20T11:39:11.206833+00:00,"{'review_id': '47db94c8-d5c6-444a-9170-b216bd5fbfe4', 'thumbs_up': 0, 'app_version': '9.1.52.1394'}"
play_store,,I'm enjoying this app because I find it easier to use and I can find all my favourite artists here.,5,Luvo Ntshangase,2026-06-19 16:56:03,,2026-06-20T11:39:11.206837+00:00,"{'review_id': 'cc1994bc-887e-4316-8f0b-98735531fc5c', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,I love this app,5,Cindy Cunningham,2026-06-19 16:54:22,,2026-06-20T11:39:11.206842+00:00,"{'review_id': '598c1340-7caf-4501-8bb2-3ecaa7e35459', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,update: another update saying I'm offline. funnily enough I'm using the same device and connection to post this update... unbelievably bad Devs and deployment of this app. cancelled membership and asked PayPal to refund me my subscription costs yet another update that breaks anything. I'll continue to crack this absolute joke of an app until it actually works. I've rescinded my premium membership as the relentless ads make it pointless.,1,Paul Cridland,2026-06-19 16:54:00,,2026-06-20T11:39:11.206846+00:00,"{'review_id': '2e2480c1-7799-4a66-be67-a947a2d99680', 'thumbs_up': 11, 'app_version': '9.1.56.574'}"
play_store,,"why is it when I updated your app that everything now buffers or refuses to play or doesn't show up or starts to play then just stops I don't pay a subscription for this app for it to not work right if it keeps doing it and I can't play my music that is downloaded without it messing up and not playing I will just say F it and just sue Spotify I'm a patient person to a point.(edit: it likes to cut off when I open any other app even Spotify itself, will just bug out and close the app on me.",1,CrimsonDemon,2026-06-19 16:53:05,,2026-06-20T11:39:11.206851+00:00,"{'review_id': '7f5d34a4-1fb1-4765-8289-9e212fe5d864', 'thumbs_up': 1, 'app_version': '9.1.58.1567'}"
play_store,,just part of my life,5,Maya Gc,2026-06-19 16:53:04,,2026-06-20T11:39:11.206855+00:00,"{'review_id': '2aefca03-46f5-484b-b82a-8e598d1c2e13', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,love,5,Lilly Whitehead,2026-06-19 16:49:17,,2026-06-20T11:39:11.206859+00:00,"{'review_id': '0d3feac6-1b65-4a8e-9779-252bc0a31744', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,it is best,5,Bishnu maya Giri,2026-06-19 16:47:43,,2026-06-20T11:39:11.206864+00:00,"{'review_id': '0ba156cf-f784-4ae0-a16d-5b52c34c7a46', 'thumbs_up': 0, 'app_version': None}"
play_store,,"Worse over time: 1) Way more unplayable tracks now (hidden til you enable it). It's never explained why. 2) Opted-in by default to share plays with Neilson, even paid users. How do subscribers benefit from this, if at all? 3) I'm nagged to try the new widget... with a nag filling my current one. Thanks, I hate it; it doesn't work and you *broke my working one*. 4) Lossless encoding can't fix all the songs made low quality on purpose (to discourage piracy). 5) NO CHANGELOG IN PLAY 🤨",3,JJ Carver (JJ),2026-06-19 16:46:19,,2026-06-20T11:39:11.206869+00:00,"{'review_id': '6abc3d96-4fa0-4784-81c0-158a3b839957', 'thumbs_up': 0, 'app_version': None}"
play_store,,was okay 👌,4,Craig Shanom,2026-06-19 16:46:03,,2026-06-20T11:39:11.206873+00:00,"{'review_id': '64988a01-c1b6-4721-9c31-7a09d033637e', 'thumbs_up': 0, 'app_version': '9.1.52.1394'}"
play_store,,🔥,5,Godfrey Mlanga,2026-06-19 16:45:51,,2026-06-20T11:39:11.206879+00:00,"{'review_id': '15dc5376-315f-4790-8e95-3074b96e2d55', 'thumbs_up': 0, 'app_version': '9.1.52.1394'}"
play_store,,I'm facing something went wrong issue last one month... pls fix this asap because I'm buying your 3 months plan,1,HARSHAD KHALGE,2026-06-19 16:43:05,,2026-06-20T11:39:11.206885+00:00,"{'review_id': '5e8b70d6-ff5e-4736-b967-cd10ccb7b5b9', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,Moving away from Premium I had been a premium member for Spotify premium from last 5 years. I did like your service and the app but unfortunately I am moving on to YT music as I had switched from Premium Duo to platinum but after I tried and try to come back to Duo the app doesn't let me come back to the plan. It felt like cheating especially after being a premium member for so long. Bye bye Spotify welcome YT music.,1,Parvinder Singh Judge,2026-06-19 16:38:26,,2026-06-20T11:39:11.206905+00:00,"{'review_id': 'aee6fc96-a762-47c1-ad33-06972f91ff97', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,too many ads,1,Mohamed RIYAS,2026-06-19 16:37:14,,2026-06-20T11:39:11.206909+00:00,"{'review_id': '40c150c3-a414-4c70-8a74-89b682428a60', 'thumbs_up': 0, 'app_version': '9.1.52.1394'}"
play_store,,"Ik eis dat per direct iemand mijn hele digitale leven bevriest want ik geraak op geen enkele manier nog in mijn account. Al mijn toestellen zijn vernietigd, ik heb geen enkel contact met de buitenwereld en ik heb nog 2 euro. Geen internet, geen veilige plaats en ik ben bij borre bijna in een antibiotica allergie gesneuveld",5,Evelien Nys,2026-06-19 16:36:25,,2026-06-20T11:39:11.206914+00:00,"{'review_id': '1b67ff47-12f4-4e2c-a562-6ab0b7e24fd0', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,nice,5,anonymously nothing,2026-06-19 16:35:20,,2026-06-20T11:39:11.206918+00:00,"{'review_id': '6c2d13cf-1fab-41cb-9b76-f3ae3252a5a4', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,Love it,5,sliptown 91,2026-06-19 16:34:45,,2026-06-20T11:39:11.206922+00:00,"{'review_id': '420e3a6c-2b16-4b0e-a711-3e2bded40698', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,I hate this app,1,Chandan Dasgupta,2026-06-19 16:34:06,,2026-06-20T11:39:11.206926+00:00,"{'review_id': 'f88ea1f4-ad0d-49c5-95c2-c2f1c6ce1f4f', 'thumbs_up': 0, 'app_version': None}"
play_store,,it forces to take subscription,2,sujata yadav,2026-06-19 16:32:11,,2026-06-20T11:39:11.206931+00:00,"{'review_id': '344dc229-ae48-4813-81d8-11d351acff0d', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,the best music app in the world 🌎 I don't know why we still need to rate Spotify there's absolutely no competitor,5,Praise ayomide Ogundeji,2026-06-19 16:28:03,,2026-06-20T11:39:11.206935+00:00,"{'review_id': '783f4cd2-6479-4618-b008-9a44365439da', 'thumbs_up': 0, 'app_version': None}"
play_store,,this app without subscription not play one many more disgusting,1,Rinarani Jena,2026-06-19 16:27:51,,2026-06-20T11:39:11.206939+00:00,"{'review_id': 'd56e07a2-225a-4f72-90bf-b85fa50c5790', 'thumbs_up': 0, 'app_version': None}"
play_store,,Awesome,5,lacey smith,2026-06-19 16:27:44,,2026-06-20T11:39:11.206974+00:00,"{'review_id': '6b8d88f6-14e7-4236-9cb5-a6ea8c44aa0c', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,"I only use it to listen to podcasts. have done so for years and have had a great experience. lately, with android 17, the app stopped working. get better engineers instead of AI bloat!",5,Alexandru Gheorghe,2026-06-19 16:25:08,,2026-06-20T11:39:11.206978+00:00,"{'review_id': 'e65b4eea-129a-48b1-84f0-61b328960b09', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,perfect,5,Keriah Giomi,2026-06-19 16:17:30,,2026-06-20T11:39:11.206983+00:00,"{'review_id': '7b35c89f-088c-445f-9b5c-5dd93267449c', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,peace,5,Kashish Jaiswal,2026-06-19 16:17:27,,2026-06-20T11:39:11.206987+00:00,"{'review_id': '46e2e73e-9192-4df6-9b4f-2fb3071542f4', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,Can you make something like Spotify light? I mean just music without all the random sht. It also became superslow to load since athr last few months...,2,Anton Vilkhov,2026-06-19 16:16:17,,2026-06-20T11:39:11.206991+00:00,"{'review_id': '74ebf539-dae2-4e7a-a4c8-24f54f5607ae', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,Spotify is SOOO good,5,Lance,2026-06-19 16:11:35,,2026-06-20T11:39:11.206995+00:00,"{'review_id': '671b13d3-9305-4533-b9db-26f091110641', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,best ever apps,5,Chetana Mahajan,2026-06-19 16:08:05,,2026-06-20T11:39:11.206999+00:00,"{'review_id': '24c0a50b-d128-4ce6-88c2-b43c544d12a1', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
play_store,,yeah if you're on premium it's the best but on normal it's annoying 😑,4,Allen,2026-06-19 16:04:33,,2026-06-20T11:39:11.207004+00:00,"{'review_id': '09fd86c9-6871-461a-9cb0-b778ae5d6b98', 'thumbs_up': 0, 'app_version': '9.0.62.622'}"
play_store,,best,4,Miniyasi dube,2026-06-19 16:02:31,,2026-06-20T11:39:11.207008+00:00,"{'review_id': 'd1b90ddb-282f-412e-90d7-572862f1e8c5', 'thumbs_up': 0, 'app_version': '9.1.58.1567'}"
play_store,,it is very nice,5,Ansh Gaud,2026-06-19 15:59:14,,2026-06-20T11:39:11.207012+00:00,"{'review_id': '3845bdb3-08e1-47fd-bb6d-729901e7d36d', 'thumbs_up': 0, 'app_version': '9.1.56.574'}"
