source,author,date_relative,comment_text,likes,reply_count
YouTube,KCDWolf,7 months ago,"This is news to me honestly... I'm happy with the service and way too deep into the Spotify ecosystem, my playlists/ listening history to ever consider switching, especially when the vast majority of artists are staying put.",36,3
YouTube,Kaimax61,7 months ago,"I was subbed to Spotify, then I realized that Youtube music also has the same songs that I was looking for, AND I can still put ""bootlegs"" into a playlist, besides getting the obvious perks for watching videos on youtube. So, I just moved to Youtube premium.",42,1
YouTube,OttoTalksAi,7 months ago,Ai music has taken over Spotify!,93,5
YouTube,djradish4,7 months ago (edited),I went to Deezer. But YT Music is great for unreleased songs and all that,44,
YouTube,Bns_eric2002,7 months ago,Love my SoundCloud!! Spotify don't got a lot of unreleased stuff either,14,1
YouTube,Arc980,7 months ago,Honestly my switch from Spotify to Tidal was such a breath of fresh air,29,1
YouTube,Leebaddii,7 months ago (edited),"As an artist myself it's fustrating that my music is constantly Shadowbanned & the way the algorithm works Spotify almost never gives Underground artist with a smaller platform a chance to shine. My music has been hidden for like the past 2years. You put in so much work to barely get 1,000 streams/monthly listeners. Even the fact that they made ""monthly listeners"" a competition can be discouraging as a Smaller Artist. & we not gone get started on how the pay sucks, can't even get 50 cents or a $1 per stream, there's no money in it if you not getting MILLIONS of streams per month or a Huge mainstream artist",5,1
YouTube,DrumzGalore,7 months ago,Had my biggest song thus far taken down because it was in one of those botted playlists that I had nothing to do with nor was I aware the song was in any playlists. They dont even give you the playlists names or any info or respond to your messages .They just take your shit down no questions asked.,9,
YouTube,BusinessAutopsyYT,3 weeks ago,This was one of the best breakdowns I've seen about Spotify. The fake artist/AI music section was honestly insane. It really feels like music is becoming background algorithm content instead of actual art. Great research and editing.,,
YouTube,K-2MAR0,7 months ago,Is there a better source? Bc I don't rlly care about learning new music from Spotify I just want to listen to the artists I like…,12,3
YouTube,debmallyaghosh2944,6 months ago,"Started with ads playing every other 2 or 3 song , then the annoying smart shuffle not being able to play your playlist ( like whats even the use of having one without premium then ) , then not being able to skip to the part of song you want , not being able to skip songs , the finally NOT BEING ABLE TO SELECT THE MUSIC YOU WANT LISTEN TO TO LIKE SERIOUSLY?? Whats even the point if i cant select the song i want to hear on a freaking MUSIC APP . The problems aren't gone yet , we were just provided some few turns to be able to such certain features and thats it . Truly outrageous.",1,
YouTube,NonBinary_Star,7 months ago (edited),"i hate Spotify for so many reasons. this has been a long time coming. does anyone know if you can transfer playlists (or metadata) from Spotify to Apple, YT Music etc???",7,1
YouTube,osydney_,7 months ago,"my family and i made the switch to apple music at the beginning of the year and honestly i regret nothing. the algorithm is simply so much better, the audio quality is better as well. also why tf don't free users get an option to search? that's wild",8,
YouTube,pistolp8037,7 months ago,"Never liked Spotify. I've always used YouTube Music, as it has more music and better recommendations based on your playlists. Not only this, but YouTube Music also has a lot of foreign music I listen to, especially: Macedonian Music, Vietnamese Music (VPop), Greek Music, Bulgarian Music, Mandarin Music, et cetera. PLUS you get all the music videos on YouTube Music.",3,1
YouTube,justahuman2233,7 months ago,It sucks but I already made all my playlists on spotify so I am kinda trapped :(,7,
YouTube,BrogodHuncho,7 months ago,"Ain't no way in hell I'm paying $20 a month and can't add more than 9,995 songs to a playlist",15,
YouTube,jervoncolefarris1616,4 months ago,I love reading y'all's issues with Spotify. Me personally I haven't had any problems. The shuffles for me are wonderful,3,
YouTube,KING4EVER247,1 month ago,Why do I have to pay the premium to play my songs in order on the playlist 😭 that's pointless 😭🙏,1,
YouTube,theSuperspeedysloth,1 day ago,"I am a free user, and I'll get ads that are 2 minutes long, and popup ads nonstop, it's filled to the brim with ads, the shuffle sucks there are songs on my playlist I've never heard, it's like you have to pay for premium and if you don't they punish you",1,
YouTube,anonymous-wk1nh,1 month ago,Spotify shuffle is so bad that I started making copies of my playlist wherein I would delete each song as I listened to them to ensure there were no repeat songs,,
YouTube,WangzGamez,7 months ago,"So what other music streaming Playlist give you as much as Spotify? Cause I used to listen to Amazon music cause I had an Amazon prime account, but it just didnt have as much music, so I switched to Spotify. Im tempted to switch to yt music, but idk what do you guys think? I usually listen to unground death metal artists with a little bit of trap and rock. Im a musician myself, and I would want to support these artists as best I can, so what music platform should I choose to compensate them instead of all my money going to Taylor swift?",,
YouTube,wooliepulpit,3 months ago (edited),How do you square everybody leaving with its profitablity? Other than cost cutting and AI artists costing less?,,
